Proj:21  [2018-04-17 18:39:50,058] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2
Proj:22  [2018-04-17 18:39:50,059] INFO  Town:main:31               Message: Get system locale is done: ru
Proj:70  [2018-04-17 18:39:50,107] INFO  Town:main:59               Message: Get res is done: ru
Proj:72  [2018-04-17 18:39:50,109] INFO  Town:main:65               Message: Encoding is done
Proj:73  [2018-04-17 18:39:50,110] INFO  Town:main:17               Message: ended
Proj:0   [2018-04-17 18:40:09,237] INFO  Town:main:9                Message: started
Proj:16  [2018-04-17 18:40:09,253] INFO  Town:main:11               Message: Submited two arguments
Proj:17  [2018-04-17 18:40:09,254] INFO  Town:main:53               Message: Get time is done: 2
Proj:18  [2018-04-17 18:40:09,255] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2
Proj:19  [2018-04-17 18:40:09,256] INFO  Town:main:31               Message: Get system locale is done: ru
Proj:60  [2018-04-17 18:40:09,297] INFO  Town:main:59               Message: Get res is done: ru
Proj:62  [2018-04-17 18:40:09,299] INFO  Town:main:65               Message: Encoding is done
Proj:63  [2018-04-17 18:40:09,300] INFO  Town:main:17               Message: ended
Proj:0   [2018-04-17 18:47:47,920] INFO  Town:main:9                Message: started
Proj:16  [2018-04-17 18:47:47,936] INFO  Town:main:11               Message: Submited two arguments
Proj:17  [2018-04-17 18:47:47,937] INFO  Town:main:53               Message: Get time is done: 2
Proj:18  [2018-04-17 18:47:47,938] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2
Proj:19  [2018-04-17 18:47:47,939] INFO  Town:main:31               Message: Get system locale is done: ru
Proj:66  [2018-04-17 18:47:47,986] INFO  Town:main:59               Message: Get res is done: ru
Proj:68  [2018-04-17 18:47:47,988] INFO  Town:main:65               Message: Encoding is done
Proj:69  [2018-04-17 18:47:47,989] INFO  Town:main:17               Message: ended
Proj:0   [2018-04-17 18:48:00,478] INFO  Town:main:9                Message: started
Proj:16  [2018-04-17 18:48:00,494] INFO  Town:main:11               Message: Submited two arguments
Proj:17  [2018-04-17 18:48:00,495] INFO  Town:main:53               Message: Get time is done: 2
Proj:18  [2018-04-17 18:48:00,496] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2
Proj:19  [2018-04-17 18:48:00,497] INFO  Town:main:31               Message: Get system locale is done: ru
Proj:163 [2018-04-17 18:48:00,641] INFO  Town:main:59               Message: Get res is done: ru
Proj:166 [2018-04-17 18:48:00,644] INFO  Town:main:65               Message: Encoding is done
Proj:166 [2018-04-17 18:48:00,644] INFO  Town:main:17               Message: ended
Proj:0   [2018-04-17 18:48:42,120] INFO  Town:main:9                Message: started
Proj:18  [2018-04-17 18:48:42,138] INFO  Town:main:11               Message: Submited two arguments
Proj:26  [2018-04-17 18:48:42,146] INFO  Town:main:53               Message: Get time is done: 2
Proj:28  [2018-04-17 18:48:42,148] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2
Proj:30  [2018-04-17 18:48:42,150] INFO  Town:main:31               Message: Get system locale is done: ru
Proj:76  [2018-04-17 18:48:42,196] INFO  Town:main:59               Message: Get res is done: ru
Proj:78  [2018-04-17 18:48:42,198] INFO  Town:main:65               Message: Encoding is done
Proj:79  [2018-04-17 18:48:42,199] INFO  Town:main:17               Message: ended
Proj:0   [2018-04-17 18:52:55,978] INFO  Town:main:9      Message: started                       
Proj:16  [2018-04-17 18:52:55,994] INFO  Town:main:11     Message: Submited two arguments        
Proj:18  [2018-04-17 18:52:55,996] INFO  Town:main:53     Message: Get time is done: 2           
Proj:19  [2018-04-17 18:52:55,997] INFO  Town:main:16     Message: Town = Los_Angeles; Time = 2  
Proj:19  [2018-04-17 18:52:55,997] INFO  Town:main:31     Message: Get system locale is done: ru 
Proj:66  [2018-04-17 18:52:56,044] INFO  Town:main:59     Message: Get res is done: ru           
Proj:68  [2018-04-17 18:52:56,046] INFO  Town:main:65     Message: Encoding is done              
Proj:69  [2018-04-17 18:52:56,047] INFO  Town:main:17     Message: ended                         
Proj:1   [2018-04-17 18:53:15,760] INFO  Town:main:9    Message: started                       
Proj:17  [2018-04-17 18:53:15,776] INFO  Town:main:11   Message: Submited two arguments        
Proj:19  [2018-04-17 18:53:15,778] INFO  Town:main:53   Message: Get time is done: 2           
Proj:20  [2018-04-17 18:53:15,779] INFO  Town:main:16   Message: Town = Los_Angeles; Time = 2  
Proj:20  [2018-04-17 18:53:15,779] INFO  Town:main:31   Message: Get system locale is done: ru 
